transaction_id,sender,receiver,amount,timestamp,risk,isFraud
TX00063,ACC430,ACC448,7930,2026-09-04 21:54:55.882618,LOW,0
TX00064,ACC412,ACC335,6133,2026-09-04 21:53:55.882618,LOW,0
TX00065,ACC317,ACC556,11203,2026-09-04 21:52:55.882618,MEDIUM,0
TX00066,ACC433,ACC523,16292,2026-09-04 21:51:55.882618,HIGH,0
TX00067,ACC797,ACC381,2103,2026-09-04 21:50:55.882618,LOW,0
TX00068,ACC941,ACC369,12146,2026-09-04 21:49:55.882618,MEDIUM,0
TX00069,ACC529,ACC116,19796,2026-09-04 21:48:55.882618,HIGH,1
TX00070,ACC947,ACC318,19191,2026-09-04 21:47:55.882618,HIGH,0
TX00071,ACC302,ACC802,6907,2026-09-04 21:46:55.882618,LOW,0
TX00072,ACC893,ACC230,7517,2026-09-04 21:45:55.882618,LOW,0
TX00073,ACC177,ACC997,16136,2026-09-04 21:44:55.882618,HIGH,1
TX00074,ACC825,ACC195,4563,2026-09-04 21:43:55.882618,LOW,0
TX00075,ACC276,ACC473,1464,2026-09-04 21:42:55.882618,LOW,0
TX00076,ACC249,ACC622,5307,2026-09-04 21:41:55.882618,LOW,0
TX00077,ACC242,ACC938,3644,2026-09-04 21:40:55.882618,LOW,0
TX00078,ACC681,ACC721,19735,2026-09-04 21:39:55.882618,HIGH,1
TX00079,ACC147,ACC746,5597,2026-09-04 21:38:55.882618,LOW,0
TX00080,ACC501,ACC464,11646,2026-09-04 21:37:55.882618,MEDIUM,0
TX00081,ACC635,ACC103,10144,2026-09-04 21:36:55.882618,MEDIUM,0
TX00082,ACC506,ACC722,16879,2026-09-04 21:35:55.882618,HIGH,0
TX00083,ACC861,ACC821,2022,2026-09-04 21:34:55.882618,LOW,0
TX00084,ACC214,ACC426,13761,2026-09-04 21:33:55.882618,MEDIUM,0
TX00085,ACC999,ACC869,18984,2026-09-04 21:32:55.882618,HIGH,1
TX00086,ACC661,ACC885,5847,2026-09-04 21:31:55.882618,LOW,0
TX00087,ACC430,ACC253,15756,2026-09-04 21:30:55.882618,HIGH,1
TX00088,ACC300,ACC928,2917,2026-09-04 21:29:55.882618,LOW,0
TX00089,ACC386,ACC228,12851,2026-09-04 21:28:55.882618,MEDIUM,0
TX00090,ACC260,ACC437,18766,2026-09-04 21:27:55.882618,HIGH,0
TX00091,ACC696,ACC705,11530,2026-09-04 21:26:55.882618,MEDIUM,0
TX00092,ACC769,ACC621,13482,2026-09-04 21:25:55.882618,MEDIUM,0
TX00093,ACC672,ACC144,1019,2026-09-04 21:24:55.882618,LOW,0
TX00094,ACC174,ACC713,1733,2026-09-04 21:23:55.882618,LOW,0
TX00095,ACC557,ACC588,231,2026-09-04 21:22:55.882618,LOW,0
TX00096,ACC570,ACC956,11574,2026-09-04 21:21:55.882618,MEDIUM,0
TX00097,ACC686,ACC898,16958,2026-09-04 21:20:55.882618,HIGH,1
TX00098,ACC385,ACC146,10940,2026-09-04 21:19:55.882618,MEDIUM,0
TX00099,ACC118,ACC406,2901,2026-09-04 21:18:55.882618,LOW,0
TX00100,ACC107,ACC123,15440,2026-09-04 21:17:55.882618,HIGH,0
TX00101,ACC316,ACC533,15177,2026-09-04 21:16:55.882618,HIGH,1
TX00102,ACC405,ACC222,13609,2026-09-04 21:15:55.882618,MEDIUM,0
TX00103,ACC489,ACC609,12918,2026-09-04 21:14:55.882618,MEDIUM,0
TX00104,ACC702,ACC772,873,2026-09-04 21:13:55.882618,LOW,0
TX00105,ACC847,ACC893,19762,2026-09-04 21:12:55.882618,HIGH,1
TX00106,ACC575,ACC466,19313,2026-09-04 21:11:55.882618,HIGH,0
TX00107,ACC200,ACC105,15675,2026-09-04 21:10:55.882618,HIGH,1
TX00108,ACC357,ACC512,3291,2026-09-04 21:09:55.882618,LOW,0
TX00109,ACC774,ACC300,9977,2026-09-04 21:08:55.882618,MEDIUM,0
TX00110,ACC427,ACC915,6405,2026-09-04 21:07:55.882618,LOW,0
TX00111,ACC955,ACC670,12932,2026-09-04 21:06:55.882618,MEDIUM,0
TX00112,ACC861,ACC363,6095,2026-09-04 21:05:55.882618,LOW,0
TX00113,ACC307,ACC773,13003,2026-09-04 21:04:55.882618,MEDIUM,0
TX00114,ACC235,ACC103,7552,2026-09-04 21:03:55.882618,LOW,0
TX00115,ACC169,ACC965,17281,2026-09-04 21:02:55.882618,HIGH,0
TX00116,ACC910,ACC951,13603,2026-09-04 21:01:55.882618,MEDIUM,0
TX00117,ACC499,ACC600,1887,2026-09-04 21:00:55.882618,LOW,0
TX00118,ACC278,ACC854,16502,2026-09-04 20:59:55.882618,HIGH,1
TX00119,ACC573,ACC618,1496,2026-09-04 20:58:55.882618,LOW,0
TX00120,ACC288,ACC137,9516,2026-09-04 20:57:55.882618,MEDIUM,0
TX00121,ACC709,ACC328,17743,2026-09-04 20:56:55.882618,HIGH,0
TX00122,ACC379,ACC692,17485,2026-09-04 20:55:55.882618,HIGH,1
TX00123,ACC460,ACC242,19504,2026-09-04 20:54:55.882618,HIGH,1
TX00124,ACC998,ACC517,5771,2026-09-04 20:53:55.882618,LOW,0
TX00125,ACC438,ACC868,3612,2026-09-04 20:52:55.882618,LOW,0
TX00126,ACC684,ACC844,7881,2026-09-04 20:51:55.882618,LOW,0
TX00127,ACC691,ACC974,14675,2026-09-04 20:50:55.882618,MEDIUM,0
TX00128,ACC291,ACC438,1474,2026-09-04 20:49:55.882618,LOW,0
TX00129,ACC912,ACC285,15459,2026-09-04 20:48:55.882618,HIGH,0
TX00130,ACC111,ACC580,9290,2026-09-04 20:47:55.882618,MEDIUM,0
TX00131,ACC769,ACC835,11805,2026-09-04 20:46:55.882618,MEDIUM,0
TX00132,ACC501,ACC324,7909,2026-09-04 20:45:55.882618,LOW,0
TX00133,ACC935,ACC303,2550,2026-09-04 20:44:55.882618,LOW,0
TX00134,ACC727,ACC964,10448,2026-09-04 20:43:55.882618,MEDIUM,0
TX00135,ACC534,ACC469,10904,2026-09-04 20:42:55.882618,MEDIUM,0
TX00136,ACC537,ACC800,10763,2026-09-04 20:41:55.882618,MEDIUM,0
TX00137,ACC277,ACC430,9941,2026-09-04 20:40:55.882618,MEDIUM,0
TX00138,ACC132,ACC856,19402,2026-09-04 20:39:55.882618,HIGH,1
TX00139,ACC706,ACC108,17344,2026-09-04 20:38:55.882618,HIGH,0
TX00140,ACC439,ACC411,17806,2026-09-04 20:37:55.882618,HIGH,1
TX00141,ACC958,ACC655,17117,2026-09-04 20:36:55.882618,HIGH,0
TX00142,ACC697,ACC188,8700,2026-09-04 20:35:55.882618,MEDIUM,0
TX00143,ACC471,ACC959,7286,2026-09-04 20:34:55.882618,LOW,0
TX00144,ACC242,ACC285,10538,2026-09-04 20:33:55.882618,MEDIUM,0
TX00145,ACC632,ACC206,12133,2026-09-04 20:32:55.882618,MEDIUM,0
TX00146,ACC405,ACC252,15714,2026-09-04 20:31:55.882618,HIGH,0
TX00147,ACC825,ACC893,17842,2026-09-04 20:30:55.882618,HIGH,1
TX00148,ACC667,ACC451,16252,2026-09-04 20:29:55.882618,HIGH,0
TX00149,ACC850,ACC915,16009,2026-09-04 20:28:55.882618,HIGH,0
TX00150,ACC582,ACC131,17851,2026-09-04 20:27:55.882618,HIGH,0
TX00151,ACC739,ACC327,13070,2026-09-04 20:26:55.882618,MEDIUM,0
TX00152,ACC189,ACC375,3264,2026-09-04 20:25:55.882618,LOW,0
TX00153,ACC836,ACC398,18494,2026-09-04 20:24:55.882618,HIGH,0
TX00154,ACC298,ACC239,5034,2026-09-04 20:23:55.882618,LOW,0
TX00155,ACC912,ACC592,6522,2026-09-04 20:22:55.882618,LOW,0
TX00156,ACC885,ACC786,2798,2026-09-04 20:21:55.882618,LOW,0
TX00157,ACC177,ACC207,1363,2026-09-04 20:20:55.882618,LOW,0
TX00158,ACC980,ACC971,17000,2026-09-04 20:19:55.882618,HIGH,0
TX00159,ACC118,ACC779,5231,2026-09-04 20:18:55.882618,LOW,0
TX00160,ACC806,ACC215,5338,2026-09-04 20:17:55.882618,LOW,0
TX00161,ACC621,ACC687,12141,2026-09-04 20:16:55.882618,MEDIUM,0
TX00162,ACC675,ACC882,5145,2026-09-04 20:15:55.882618,LOW,0
TX00163,ACC293,ACC774,3598,2026-09-04 20:14:55.882618,LOW,0
TX00164,ACC699,ACC151,9256,2026-09-04 20:13:55.882618,MEDIUM,0
TX00165,ACC146,ACC414,14337,2026-09-04 20:12:55.882618,MEDIUM,0
TX00166,ACC426,ACC125,17451,2026-09-04 20:11:55.882618,HIGH,0
TX00167,ACC939,ACC486,6942,2026-09-04 20:10:55.882618,LOW,0
TX00168,ACC202,ACC734,17315,2026-09-04 20:09:55.882618,HIGH,0
TX00169,ACC283,ACC382,14455,2026-09-04 20:08:55.882618,MEDIUM,0
TX00170,ACC910,ACC700,15325,2026-09-04 20:07:55.882618,HIGH,1
TX00171,ACC968,ACC200,13183,2026-09-04 20:06:55.882618,MEDIUM,0
TX00172,ACC947,ACC245,6554,2026-09-04 20:05:55.882618,LOW,0
TX00173,ACC218,ACC691,15111,2026-09-04 20:04:55.882618,HIGH,0
TX00174,ACC355,ACC622,7625,2026-09-04 20:03:55.882618,LOW,0
TX00175,ACC858,ACC660,19814,2026-09-04 20:02:55.882618,HIGH,1
TX00176,ACC174,ACC167,5259,2026-09-04 20:01:55.882618,LOW,0
TX00177,ACC679,ACC878,6891,2026-09-04 20:00:55.882618,LOW,0
TX00178,ACC259,ACC732,14076,2026-09-04 19:59:55.882618,MEDIUM,0
TX00179,ACC971,ACC629,1903,2026-09-04 19:58:55.882618,LOW,0
TX00180,ACC954,ACC283,7264,2026-09-04 19:57:55.882618,LOW,0
TX00181,ACC661,ACC145,14436,2026-09-04 19:56:55.882618,MEDIUM,0
TX00182,ACC799,ACC329,9916,2026-09-04 19:55:55.882618,MEDIUM,0
TX00183,ACC412,ACC606,17991,2026-09-04 19:54:55.882618,HIGH,1
TX00184,ACC953,ACC727,2251,2026-09-04 19:53:55.882618,LOW,0
TX00185,ACC683,ACC420,5417,2026-09-04 19:52:55.882618,LOW,0
TX00186,ACC263,ACC419,10447,2026-09-04 19:51:55.882618,MEDIUM,0
TX00187,ACC930,ACC928,16997,2026-09-04 19:50:55.882618,HIGH,0
TX00188,ACC142,ACC181,4726,2026-09-04 19:49:55.882618,LOW,0
TX00189,ACC917,ACC930,6071,2026-09-04 19:48:55.882618,LOW,0
TX00190,ACC102,ACC493,18362,2026-09-04 19:47:55.882618,HIGH,1
TX00191,ACC217,ACC581,11046,2026-09-04 19:46:55.882618,MEDIUM,0
TX00192,ACC703,ACC252,8476,2026-09-04 19:45:55.882618,MEDIUM,0
TX00193,ACC973,ACC612,8462,2026-09-04 19:44:55.882618,MEDIUM,0
TX00194,ACC994,ACC348,14480,2026-09-04 19:43:55.882618,MEDIUM,0
TX00195,ACC673,ACC653,6256,2026-09-04 19:42:55.882618,LOW,0
TX00196,ACC891,ACC105,7675,2026-09-04 19:41:55.882618,LOW,0
TX00197,ACC157,ACC363,13430,2026-09-04 19:40:55.882618,MEDIUM,0
TX00198,ACC315,ACC688,5980,2026-09-04 19:39:55.882618,LOW,0
TX00199,ACC165,ACC958,2242,2026-09-04 19:38:55.882618,LOW,0
TX00200,ACC561,ACC472,1410,2026-09-04 19:37:55.882618,LOW,0
TX00201,ACC949,ACC864,12588,2026-09-04 19:36:55.882618,MEDIUM,0
TX00202,ACC681,ACC431,8791,2026-09-04 19:35:55.882618,MEDIUM,0
TX00203,ACC321,ACC552,14736,2026-09-04 19:34:55.882618,MEDIUM,0
TX00204,ACC816,ACC411,15251,2026-09-04 19:33:55.882618,HIGH,0
TX00205,ACC358,ACC927,17886,2026-09-04 19:32:55.882618,HIGH,1
TX00206,ACC334,ACC999,7708,2026-09-04 19:31:55.882618,LOW,0
TX00207,ACC213,ACC547,15804,2026-09-04 19:30:55.882618,HIGH,1
TX00208,ACC175,ACC220,5094,2026-09-04 19:29:55.882618,LOW,0
TX00209,ACC975,ACC591,18525,2026-09-04 19:28:55.882618,HIGH,0
TX00210,ACC995,ACC876,5675,2026-09-04 19:27:55.882618,LOW,0
TX00211,ACC124,ACC189,9798,2026-09-04 19:26:55.882618,MEDIUM,0
TX00212,ACC687,ACC189,9411,2026-09-04 19:25:55.882618,MEDIUM,0
TX00213,ACC547,ACC988,5619,2026-09-04 19:24:55.882618,LOW,0
TX00214,ACC844,ACC306,6150,2026-09-04 19:23:55.882618,LOW,0
TX00215,ACC927,ACC365,19935,2026-09-04 19:22:55.882618,HIGH,0
TX00216,ACC309,ACC752,15555,2026-09-04 19:21:55.882618,HIGH,1
TX00217,ACC200,ACC223,6894,2026-09-04 19:20:55.882618,LOW,0
TX00218,ACC233,ACC928,310,2026-09-04 19:19:55.882618,LOW,0
TX00219,ACC531,ACC245,14038,2026-09-04 19:18:55.882618,MEDIUM,0
TX00220,ACC186,ACC984,12014,2026-09-04 19:17:55.882618,MEDIUM,0
TX00221,ACC772,ACC853,12873,2026-09-04 19:16:55.882618,MEDIUM,0
TX00222,ACC303,ACC168,7073,2026-09-04 19:15:55.882618,LOW,0
TX00223,ACC145,ACC858,2100,2026-09-04 19:14:55.882618,LOW,0
TX00224,ACC812,ACC225,7053,2026-09-04 19:13:55.882618,LOW,0
TX00225,ACC540,ACC621,6744,2026-09-04 19:12:55.882618,LOW,0
TX00226,ACC259,ACC765,292,2026-09-04 19:11:55.882618,LOW,0
TX00227,ACC605,ACC262,18033,2026-09-04 19:10:55.882618,HIGH,0
TX00228,ACC964,ACC114,19092,2026-09-04 19:09:55.882618,HIGH,1
TX00229,ACC655,ACC584,13552,2026-09-04 19:08:55.882618,MEDIUM,0
TX00230,ACC144,ACC858,9657,2026-09-04 19:07:55.882618,MEDIUM,0
TX00231,ACC595,ACC961,7549,2026-09-04 19:06:55.882618,LOW,0
TX00232,ACC642,ACC766,2176,2026-09-04 19:05:55.882618,LOW,0
TX00233,ACC357,ACC295,16090,2026-09-04 19:04:55.882618,HIGH,1
TX00234,ACC557,ACC936,6469,2026-09-04 19:03:55.882618,LOW,0
TX00235,ACC212,ACC729,17858,2026-09-04 19:02:55.882618,HIGH,1
TX00236,ACC110,ACC872,7736,2026-09-04 19:01:55.882618,LOW,0
TX00237,ACC719,ACC947,11323,2026-09-04 19:00:55.882618,MEDIUM,0
TX00238,ACC249,ACC655,15935,2026-09-04 18:59:55.882618,HIGH,1
TX00239,ACC115,ACC534,6843,2026-09-04 18:58:55.882618,LOW,0
TX00240,ACC817,ACC601,7820,2026-09-04 18:57:55.882618,LOW,0
TX00241,ACC235,ACC351,6336,2026-09-04 18:56:55.882618,LOW,0
TX00242,ACC424,ACC804,7568,2026-09-04 18:55:55.882618,LOW,0
TX00243,ACC561,ACC500,8128,2026-09-04 18:54:55.882618,MEDIUM,0
TX00244,ACC633,ACC761,12081,2026-09-04 18:53:55.882618,MEDIUM,0
TX00245,ACC720,ACC816,17252,2026-09-04 18:52:55.882618,HIGH,1
TX00246,ACC667,ACC219,12077,2026-09-04 18:51:55.882618,MEDIUM,0
TX00247,ACC895,ACC524,18381,2026-09-04 18:50:55.882618,HIGH,1
TX00248,ACC889,ACC460,17681,2026-09-04 18:49:55.882618,HIGH,0
TX00249,ACC922,ACC489,12379,2026-09-04 18:48:55.882618,MEDIUM,0
TX00250,ACC609,ACC259,9831,2026-09-04 18:47:55.882618,MEDIUM,0
TX00251,ACC909,ACC127,1487,2026-09-04 18:46:55.882618,LOW,0
TX00252,ACC618,ACC474,472,2026-09-04 18:45:55.882618,LOW,0
TX00253,ACC573,ACC231,13095,2026-09-04 18:44:55.882618,MEDIUM,0
TX00254,ACC302,ACC351,4770,2026-09-04 18:43:55.882618,LOW,0
TX00255,ACC519,ACC773,14870,2026-09-04 18:42:55.882618,MEDIUM,0
TX00256,ACC756,ACC786,13006,2026-09-04 18:41:55.882618,MEDIUM,0
TX00257,ACC519,ACC274,1571,2026-09-04 18:40:55.882618,LOW,0
TX00258,ACC518,ACC493,5331,2026-09-04 18:39:55.882618,LOW,0
TX00259,ACC494,ACC522,3301,2026-09-04 18:38:55.882618,LOW,0
TX00260,ACC451,ACC658,13396,2026-09-04 18:37:55.882618,MEDIUM,0
TX00261,ACC850,ACC724,8197,2026-09-04 18:36:55.882618,MEDIUM,0
TX00262,ACC656,ACC618,13555,2026-09-04 18:35:55.882618,MEDIUM,0
TX00263,ACC904,ACC303,14841,2026-09-04 18:34:55.882618,MEDIUM,0
TX00264,ACC791,ACC291,12140,2026-09-04 18:33:55.882618,MEDIUM,0
TX00265,ACC629,ACC302,13396,2026-09-04 18:32:55.882618,MEDIUM,0
TX00266,ACC925,ACC773,7164,2026-09-04 18:31:55.882618,LOW,0
TX00267,ACC269,ACC583,14842,2026-09-04 18:30:55.882618,MEDIUM,0
TX00268,ACC761,ACC939,14457,2026-09-04 18:29:55.882618,MEDIUM,0
TX00269,ACC600,ACC857,8704,2026-09-04 18:28:55.882618,MEDIUM,0
TX00270,ACC544,ACC375,3721,2026-09-04 18:27:55.882618,LOW,0
TX00271,ACC930,ACC618,9140,2026-09-04 18:26:55.882618,MEDIUM,0
TX00272,ACC791,ACC190,6079,2026-09-04 18:25:55.882618,LOW,0
TX00273,ACC614,ACC667,14215,2026-09-04 18:24:55.882618,MEDIUM,0
TX00274,ACC316,ACC298,19481,2026-09-04 18:23:55.882618,HIGH,0
TX00275,ACC931,ACC310,3464,2026-09-04 18:22:55.882618,LOW,0
TX00276,ACC122,ACC325,10104,2026-09-04 18:21:55.882618,MEDIUM,0
TX00277,ACC889,ACC450,13393,2026-09-04 18:20:55.882618,MEDIUM,0
TX00278,ACC871,ACC629,6137,2026-09-04 18:19:55.882618,LOW,0
TX00279,ACC567,ACC531,5524,2026-09-04 18:18:55.882618,LOW,0
TX00280,ACC602,ACC621,15887,2026-09-04 18:17:55.882618,HIGH,1
TX00281,ACC471,ACC564,16529,2026-09-04 18:16:55.882618,HIGH,0
TX00282,ACC188,ACC413,12678,2026-09-04 18:15:55.882618,MEDIUM,0
TX00283,ACC765,ACC633,5484,2026-09-04 18:14:55.882618,LOW,0
TX00284,ACC328,ACC686,5361,2026-09-04 18:13:55.882618,LOW,0
TX00285,ACC847,ACC970,6874,2026-09-04 18:12:55.882618,LOW,0
TX00286,ACC336,ACC832,3094,2026-09-04 18:11:55.882618,LOW,0
TX00287,ACC968,ACC235,8623,2026-09-04 18:10:55.882618,MEDIUM,0
TX00288,ACC276,ACC702,6306,2026-09-04 18:09:55.882618,LOW,0
TX00289,ACC335,ACC666,9155,2026-09-04 18:08:55.882618,MEDIUM,0
TX00290,ACC726,ACC674,4712,2026-09-04 18:07:55.882618,LOW,0
TX00291,ACC443,ACC595,4734,2026-09-04 18:06:55.882618,LOW,0
TX00292,ACC151,ACC407,10089,2026-09-04 18:05:55.882618,MEDIUM,0
TX00293,ACC966,ACC783,10774,2026-09-04 18:04:55.882618,MEDIUM,0
TX00294,ACC463,ACC188,12349,2026-09-04 18:03:55.882618,MEDIUM,0
TX00295,ACC276,ACC469,196,2026-09-04 18:02:55.882618,LOW,0
TX00296,ACC382,ACC559,5218,2026-09-04 18:01:55.882618,LOW,0
TX00297,ACC153,ACC596,3405,2026-09-04 18:00:55.882618,LOW,0
TX00298,ACC601,ACC326,12527,2026-09-04 17:59:55.882618,MEDIUM,0
TX00299,ACC580,ACC892,6519,2026-09-04 17:58:55.882618,LOW,0
TX00300,ACC355,ACC569,11795,2026-09-04 17:57:55.882618,MEDIUM,0
TX00301,ACC483,ACC641,11341,2026-09-04 17:56:55.882618,MEDIUM,0
TX00302,ACC945,ACC990,15084,2026-09-04 17:55:55.882618,HIGH,0
TX00303,ACC354,ACC577,817,2026-09-04 17:54:55.882618,LOW,0
TX00304,ACC846,ACC606,1700,2026-09-04 17:53:55.882618,LOW,0
TX00305,ACC261,ACC448,1279,2026-09-04 17:52:55.882618,LOW,0
TX00306,ACC835,ACC229,15758,2026-09-04 17:51:55.882618,HIGH,0
TX00307,ACC269,ACC625,1228,2026-09-04 17:50:55.882618,LOW,0
TX00308,ACC964,ACC277,16025,2026-09-04 17:49:55.882618,HIGH,0
TX00309,ACC666,ACC790,183,2026-09-04 17:48:55.882618,LOW,0
TX00310,ACC332,ACC927,13672,2026-09-04 17:47:55.882618,MEDIUM,0
TX00311,ACC262,ACC868,9045,2026-09-04 17:46:55.882618,MEDIUM,0
TX00312,ACC298,ACC160,1580,2026-09-04 17:45:55.882618,LOW,0
TX00313,ACC271,ACC468,18062,2026-09-04 17:44:55.882618,HIGH,0
TX00314,ACC408,ACC777,13461,2026-09-04 17:43:55.882618,MEDIUM,0
TX00315,ACC193,ACC452,8120,2026-09-04 17:42:55.882618,MEDIUM,0
TX00316,ACC570,ACC362,6350,2026-09-04 17:41:55.882618,LOW,0
TX00317,ACC275,ACC247,11867,2026-09-04 17:40:55.882618,MEDIUM,0
TX00318,ACC878,ACC250,17476,2026-09-04 17:39:55.882618,HIGH,1
TX00319,ACC293,ACC331,19831,2026-09-04 17:38:55.882618,HIGH,0
TX00320,ACC806,ACC365,10951,2026-09-04 17:37:55.882618,MEDIUM,0
TX00321,ACC126,ACC753,4387,2026-09-04 17:36:55.882618,LOW,0
TX00322,ACC257,ACC417,16695,2026-09-04 17:35:55.882618,HIGH,1
TX00323,ACC257,ACC224,18407,2026-09-04 17:34:55.882618,HIGH,1
TX00324,ACC964,ACC869,17704,2026-09-04 17:33:55.882618,HIGH,0
TX00325,ACC702,ACC522,362,2026-09-04 17:32:55.882618,LOW,0
TX00326,ACC554,ACC424,1572,2026-09-04 17:31:55.882618,LOW,0
TX00327,ACC683,ACC895,9193,2026-09-04 17:30:55.882618,MEDIUM,0
TX00328,ACC626,ACC602,6933,2026-09-04 17:29:55.882618,LOW,0
TX00329,ACC525,ACC216,7522,2026-09-04 17:28:55.882618,LOW,0
TX00330,ACC271,ACC614,5005,2026-09-04 17:27:55.882618,LOW,0
TX00331,ACC569,ACC366,7599,2026-09-04 17:26:55.882618,LOW,0
TX00332,ACC451,ACC370,3940,2026-09-04 17:25:55.882618,LOW,0
TX00333,ACC587,ACC948,4741,2026-09-04 17:24:55.882618,LOW,0
TX00334,ACC937,ACC870,16118,2026-09-04 17:23:55.882618,HIGH,0
TX00335,ACC829,ACC395,7318,2026-09-04 17:22:55.882618,LOW,0
TX00336,ACC212,ACC249,7221,2026-09-04 17:21:55.882618,LOW,0
TX00337,ACC186,ACC436,3151,2026-09-04 17:20:55.882618,LOW,0
TX00338,ACC776,ACC245,1603,2026-09-04 17:19:55.882618,LOW,0
